,movieId,genres_x,tconst,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres_y,directors,averageRating,numVotes
0,1,Adventure|Animation|Children|Comedy|Fantasy,tt0114709,movie,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy",John Lasseter,8.3,876545.0
1,42191,Animation|Children,tt0091455,short,Luxo Jr.,0,1986,\N,2,"Animation,Family,Short",John Lasseter,7.3,12945.0
2,95446,Animation|Children,tt0096273,short,Tin Toy,0,1988,\N,5,"Animation,Family,Fantasy",John Lasseter,6.5,9617.0
3,95628,Animation|Children,tt0093832,short,Red's Dream,0,1987,\N,4,"Animation,Family,Fantasy",John Lasseter,6.3,6435.0
4,95856,Animation|Children,tt0097674,short,Knick Knack,0,1989,\N,4,"Animation,Comedy,Family",John Lasseter,7.5,13010.0
5,2,Adventure|Children|Fantasy,tt0113497,movie,Jumanji,0,1995,\N,104,"Adventure,Comedy,Family",Joe Johnston,7.0,303968.0
6,2054,Adventure|Children|Comedy|Fantasy|Sci-Fi,tt0097523,movie,"Honey, I Shrunk the Kids",0,1989,\N,93,"Adventure,Comedy,Family",Joe Johnston,6.4,141492.0
7,2094,Action|Adventure|Sci-Fi,tt0102803,movie,The Rocketeer,0,1991,\N,108,"Action,Adventure,Family",Joe Johnston,6.5,52592.0
8,2501,Drama,tt0132477,movie,October Sky,0,1999,\N,108,"Biography,Drama,Family",Joe Johnston,7.8,81846.0
9,4638,Action|Adventure|Sci-Fi|Thriller,tt0163025,movie,Jurassic Park III,0,2001,\N,92,"Action,Adventure,Sci-Fi",Joe Johnston,5.9,293625.0
10,7324,Adventure|Drama,tt0317648,movie,Hidalgo,0,2004,\N,136,"Action,Adventure,Biography",Joe Johnston,6.7,76922.0
11,74452,Horror|Thriller,tt0780653,movie,The Wolfman,0,2010,\N,103,"Drama,Fantasy,Horror",Joe Johnston,5.8,102260.0
12,88140,Action|Adventure|Sci-Fi|Thriller|War,tt0458339,movie,Captain America: The First Avenger,0,2011,\N,124,"Action,Adventure,Sci-Fi",Joe Johnston,6.9,731804.0
13,128149,Thriller,tt2226495,movie,Not Safe for Work,0,2014,\N,74,Thriller,Joe Johnston,5.8,4072.0
14,3,Comedy|Romance,tt0113228,movie,Grumpier Old Men,0,1995,\N,101,"Comedy,Romance",Howard Deutch,6.7,23994.0
15,460,Comedy,tt0109891,movie,Getting Even with Dad,0,1994,\N,109,"Comedy,Crime,Family",Howard Deutch,4.8,7367.0
16,1290,Drama|Romance,tt0094006,movie,Some Kind of Wonderful,0,1987,\N,95,"Drama,Romance",Howard Deutch,7.1,27509.0
17,1837,Comedy,tt0120773,movie,The Odd Couple II,0,1998,\N,97,"Adventure,Comedy",Howard Deutch,6.5,9150.0
18,2145,Comedy|Drama|Romance,tt0091790,movie,Pretty in Pink,0,1986,\N,97,"Comedy,Drama,Romance",Howard Deutch,6.8,73827.0
19,3861,Comedy,tt0191397,movie,The Replacements,0,2000,\N,118,"Comedy,Sport",Howard Deutch,6.6,57870.0
20,4509,Comedy,tt0095253,movie,The Great Outdoors,0,1988,\N,91,Comedy,Howard Deutch,6.7,39169.0
21,6841,Comedy|Drama,tt0101371,movie,Article 99,0,1992,\N,100,"Comedy,Drama",Howard Deutch,6.1,2968.0
22,7381,Action|Comedy|Crime,tt0327247,movie,The Whole Ten Yards,0,2004,\N,98,"Comedy,Crime,Thriller",Howard Deutch,5.5,53812.0
23,62439,Comedy|Romance,tt1046163,movie,My Best Friend's Girl,0,2008,\N,101,"Comedy,Romance",Howard Deutch,5.9,42350.0
24,110326,Drama,tt0322422,tvMovie,Gleason,0,2002,\N,120,"Biography,Drama,Family",Howard Deutch,6.6,449.0
25,4,Comedy|Drama|Romance,tt0114885,movie,Waiting to Exhale,0,1995,\N,124,"Comedy,Drama,Romance",Forest Whitaker,5.9,9453.0
26,1888,Comedy|Drama|Romance,tt0119313,movie,Hope Floats,0,1998,\N,114,"Drama,Romance",Forest Whitaker,6.1,24387.0
27,8869,Comedy|Romance,tt0361620,movie,First Daughter,0,2004,\N,106,"Comedy,Drama,Romance",Forest Whitaker,5.1,20909.0
28,88761,Action|Drama,tt0108230,tvMovie,Strapped,0,1993,\N,104,"Action,Drama",Forest Whitaker,6.4,932.0
29,5,Comedy,tt0113041,movie,Father of the Bride Part II,0,1995,\N,106,"Comedy,Family,Romance",Charles Shyer,6.1,34150.0
30,360,Action|Comedy,tt0110093,movie,I Love Trouble,0,1994,\N,123,"Action,Comedy,Romance",Charles Shyer,5.3,11382.0
31,4080,Comedy,tt0092605,movie,Baby Boom,0,1987,\N,110,"Comedy,Drama,Romance",Charles Shyer,6.3,13731.0
32,4959,Drama,tt0242252,movie,The Affair of the Necklace,0,2001,\N,118,"Drama,History,Romance",Charles Shyer,6.1,5022.0
33,6944,Comedy,tt0101862,movie,Father of the Bride,0,1991,\N,105,"Comedy,Family,Romance",Charles Shyer,6.5,68124.0
34,8948,Comedy|Drama|Romance,tt0375173,movie,Alfie,0,2004,\N,103,"Comedy,Drama,Romance",Charles Shyer,6.2,50383.0
